time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.46191204182e-05,9.81882171597e-09,10.0063412103,7.45932295043e-06,0.0105915455251,0.0,-0.00270163986191,8.22413220222e-07,0.211353486115,0.000328125918199,0.0344710682589,0.0,468.9619095824071,471.6313312163551,471.5099857462543,471.5353274272416
0.12000000000000001,-0.0004641257406,3.69373318408e-06,10.0229591334,0.00103392376691,0.0173615094343,0.0,-0.0120301422162,0.000220902666533,0.342536626909,0.0101849870509,0.00948767937693,0.0,447.8127028139113,445.7763635465933,446.3368329560365,447.1403548109664
0.18,-0.00156510972675,6.29289580443e-05,10.0467330344,0.00775726667615,0.0219964681197,0.0,-0.0251249941524,0.00241998965423,0.449879139799,0.0360941382714,0.0304083008715,0.0,438.0138892456008,439.74994984152886,438.85351143978426,440.9985001433391
0.23999999999999996,-0.00367611901,0.000449249287589,10.0817107147,0.0161859291502,0.0307147308398,0.0,-0.0463079769988,0.0115591831412,0.715876221266,0.00745314678345,0.0579951120492,0.0,486.03088071757355,488.09444074453785,488.1456598904795,486.00417180456685
0.3,-0.0071309603814,0.00148900281035,10.1282625967,0.0166645556544,0.0368502493938,0.0,-0.069477562113,0.0231514833224,0.83575054468,0.00397009557902,0.0746871410878,0.0,443.30223880678824,444.6745082028256,443.8628099657393,443.5768092003008
0.36000000000000004,-0.0121350730904,0.00326910092757,10.182660471,0.023464639335,0.0438711765064,0.0,-0.0980642440787,0.0368889971092,0.9773573179,0.0308568255723,0.0909853572715,0.0,450.44862641710233,451.76960697802883,449.5039688521178,451.67720574946736
0.4200000000000001,-0.0189828556275,0.00599534765654,10.2450883101,0.0260207437669,0.0494827653714,0.0,-0.130781260253,0.0542444343272,1.10342141277,0.0389304826711,0.094227463776,0.0,447.00279737305476,447.2739732456465,445.27956473103825,445.93992538391444
0.48000000000000015,-0.0281329443582,0.00994862340044,10.3192540999,0.0331009015428,0.0567903323008,0.0,-0.175115899052,0.0783887960445,1.36841640843,0.0616208146868,0.107165854109,0.0,487.80777183047576,488.78026262958,487.04864481369805,488.7436390261907
0.5400000000000001,-0.0399828179042,0.0154328594736,10.4062702285,0.0415011886379,0.0702815959266,0.0,-0.221405832359,0.105318854853,1.5317819146,0.0842070633967,0.0768310888037,0.0,459.76655551198866,457.3649181139949,458.54568677458775,460.3397514725008
0.6000000000000002,-0.0552362922823,0.0229068029996,10.5074802108,0.0488173010608,0.0845142600164,0.0,-0.288862260861,0.144739238629,1.84124410483,0.0995317572984,0.10963314389,0.0,501.1709806540102,503.55476405680633,501.38446070818185,502.50216674260014
0.6600000000000003,-0.0746227486031,0.0328126674703,10.6241642028,0.061808451749,0.0911112256028,0.0,-0.358100675825,0.186931252502,2.04771097349,0.127378445685,0.110360890573,0.0,474.24579321429155,474.3115165848474,472.56599899080663,474.7171768158215
0.7200000000000003,-0.0981632707242,0.0454236652233,10.7514079936,0.0694848760682,0.0994929295518,0.0,-0.427489549337,0.234244138328,2.19331682443,0.128520282515,0.0945777758516,0.0,457.2687595983962,456.01914322348495,456.75983891018103,456.8653064763452
0.7800000000000004,-0.126489791235,0.0613680629921,10.8913579786,0.0865154426932,0.114823536601,0.0,-0.518598134131,0.29932036788,2.47072179753,0.16078223261,0.127438136117,0.0,495.40721823738033,497.82593686442294,495.2841296015791,497.66694742192067
0.8400000000000004,-0.160131222129,0.0812051259582,11.0431584395,0.0961548213356,0.131038360124,0.0,-0.604488147764,0.362877036681,2.58868586938,0.160313237339,0.0941489810549,0.0,452.48615786873455,449.8103547807721,451.19228159275144,451.1785208471847
0.9000000000000005,-0.199732833033,0.105426546006,11.2056717522,0.107698474336,0.139484868584,0.0,-0.716506595803,0.445823977617,2.82752199847,0.174357644753,0.111309985908,0.0,488.17317205522625,489.4596137482069,488.10113929297574,489.17139458653935
0.9600000000000005,-0.245841474315,0.134593894872,11.3795047381,0.12209166747,0.146573676203,0.0,-0.821157425379,0.527888636363,2.96620500436,0.194910746651,0.117227311956,0.0,460.06950051912884,460.54870740279154,460.3310801427796,461.9850535973893
1.0200000000000005,-0.298048847711,0.168678113018,11.5591075328,0.134444142967,0.164035078114,0.0,-0.920700498316,0.609373357205,3.01992080715,0.184743817517,0.151420996843,0.0,434.0549627944618,436.9307507761866,435.7863150634899,434.97223603029147
1.0800000000000005,-0.356294588809,0.207695638796,11.7403518098,0.153402674666,0.174827782167,0.0,-1.02178298858,0.692802602459,3.02105660767,0.214304649818,0.135855644671,0.0,420.4988321752361,419.1696778869958,417.53910046863746,420.14966120163103
1.1400000000000006,-0.421450285711,0.252597242145,11.9251602226,0.167457602577,0.18622748992,0.0,-1.1512322302,0.805288897847,3.13831013913,0.201059933727,0.114874861767,0.0,459.30501065616255,457.65268983945595,458.9175403965713,457.9069768063282
1.2000000000000006,-0.49391353034,0.30390707481,12.113281655,0.179792762296,0.196975404705,0.0,-1.26512504953,0.906040359573,3.13192385292,0.205692159811,0.135216868826,0.0,418.84663279307944,420.6264650783978,419.76093386457836,420.20560446769036
1.2600000000000007,-0.573861498613,0.361859538711,12.3030338817,0.193427496217,0.214465643487,0.0,-1.40148985147,1.02689036106,3.19218824107,0.191975710033,0.100449584272,0.0,444.4630986258457,441.6184323986952,444.5164453494605,443.4307001603533
